prototype_id	shape
0	triangle
1	circle
2	none
3	circle
4	square
5	triangle
6	circle
7	square
8	circle
9	square
10	square
11	circle
12	triangle
13	square
14	triangle
15	triangle
16	square
17	circle
18	triangle
19	circle
20	square
21	square
22	circle
23	circle
24	circle
25	square
26	circle
27	square
28	square
29	circle
30	square
31	circle
32	circle
33	circle
34	circle
35	circle
36	circle
37	square
38	circle
39	circle
40	square
41	circle
42	triangle
43	circle
44	circle
45	square
46	square
47	circle
48	circle
49	circle
50	square
51	circle
52	triangle
53	square
54	triangle
55	circle
56	circle
57	square
58	circle
59	circle
60	triangle
61	circle
62	square
63	square
