index	image_idx	cell_idx	row	col	shape	color	prototype_id
0	0	0	0	0	triangle	blue	0
1	0	1	0	1	circle	green	1
2	0	2	0	2	none	none	2
3	0	3	1	0	circle	blue	3
4	0	4	1	1	square	red	4
5	0	5	1	2	triangle	red	5
6	0	6	2	0	none	none	2
7	0	7	2	1	triangle	red	0
8	0	8	2	2	circle	red	1
9	1	0	0	0	circle	green	6
10	1	1	0	1	triangle	blue	7
11	1	2	0	2	none	none	2
12	1	3	1	0	triangle	blue	7
13	1	4	1	1	circle	red	6
14	1	5	1	2	circle	green	8
15	1	6	2	0	none	none	2
16	1	7	2	1	circle	blue	6
17	1	8	2	2	triangle	red	0
18	2	0	0	0	circle	blue	4
19	2	1	0	1	circle	red	6
20	2	2	0	2	circle	green	6
21	2	3	1	0	none	none	2
22	2	4	1	1	square	red	9
23	2	5	1	2	triangle	none	2
24	2	6	2	0	square	green	7
25	2	7	2	1	triangle	red	5
26	2	8	2	2	triangle	green	5
27	3	0	0	0	triangle	blue	0
28	3	1	0	1	circle	blue	8
29	3	2	0	2	triangle	green	7
30	3	3	1	0	circle	green	6
31	3	4	1	1	square	red	9
32	3	5	1	2	circle	blue	4
33	3	6	2	0	none	none	2
34	3	7	2	1	triangle	blue	0
35	3	8	2	2	triangle	green	0
36	4	0	0	0	square	red	10
37	4	1	0	1	circle	red	11
38	4	2	0	2	square	blue	9
39	4	3	1	0	none	none	2
40	4	4	1	1	triangle	blue	5
41	4	5	1	2	none	none	2
42	4	6	2	0	triangle	red	7
43	4	7	2	1	triangle	green	12
44	4	8	2	2	circle	green	8
45	5	0	0	0	none	none	2
46	5	1	0	1	circle	green	6
47	5	2	0	2	circle	blue	8
48	5	3	1	0	none	none	2
49	5	4	1	1	circle	green	4
50	5	5	1	2	square	green	7
51	5	6	2	0	none	none	2
52	5	7	2	1	triangle	blue	7
53	5	8	2	2	square	green	10
54	6	0	0	0	circle	red	13
55	6	1	0	1	triangle	green	7
56	6	2	0	2	triangle	blue	0
57	6	3	1	0	triangle	blue	12
58	6	4	1	1	triangle	green	5
59	6	5	1	2	circle	blue	8
60	6	6	2	0	none	none	2
61	6	7	2	1	none	none	2
62	6	8	2	2	triangle	blue	7
63	7	0	0	0	triangle	green	7
64	7	1	0	1	none	none	2
65	7	2	0	2	triangle	green	14
66	7	3	1	0	none	none	2
67	7	4	1	1	circle	green	6
68	7	5	1	2	circle	green	8
69	7	6	2	0	none	none	2
70	7	7	2	1	square	red	10
71	7	8	2	2	triangle	green	5
72	8	0	0	0	triangle	blue	14
